Age_Ma,Al_Area,Si_Area,P_Area,S_Area,Cl_Area,K_Area,Ca_Area,Ti_Area,Cr_Area,Mn_Area,Fe_Area,Rh_Area,Cu_Area,Zn_Area,Ga_Area,Br_Area,Rb_Area,Sr_Area,Y_Area,Zr_Area,Nb_Area,Mo_Area,Pb_Area,Bi_Area,Ag_Area,Cd_Area,Sn_Area,Te_Area,Ba_Area,T_Area
6.78122282,2868,45843,-3286,-634,58760,14387,3016040,7268,175,7328,106457,53020,559,818,161,4031,2028,125107,2240,5695,-1050,-1524,461,313,1347294,2334,16486,3128,25766.0,176823
6.781960964,2590,43673,-4153,-792,56982,12608,2945866,7249,-94,6947,97160,51800,1028,931,71,3885,2399,123346,1578,5635,-1540,-1238,694,197,1348463,2706,16104,3480,22578.0,163280
6.782698154,2653,45420,-4002,-791,56604,13583,2923796,7472,452,7457,99470,51791,744,946,168,3757,2049,122310,2115,5548,-1628,-1569,478,261,1347683,2423,15862,3955,25794.0,168598
6.783436298,2544,43187,-3474,-850,55568,13498,2833308,7459,826,6940,95389,50393,571,836,133,3585,2340,121842,1973,5519,-1888,-1221,344,284,1342788,1911,16014,2800,26004.0,162077
6.784174442,2879,45808,-4026,-565,58125,13602,3025864,7628,54,7823,104659,51089,620,880,123,4048,2059,127820,2404,6182,-1447,-1070,595,270,1347380,2536,16445,3907,28044.0,174576
6.784912109,2261,44723,-3800,-884,57753,14086,3045346,7597,651,8166,107294,49407,554,938,110,3713,2376,126796,1783,5694,-1280,-1021,689,263,1335751,2670,16291,3676,26281.0,175961
6.785649776,2749,44349,-3257,-448,60725,13937,3076288,6901,408,8736,103024,50868,590,875,65,3862,1806,127899,1792,6505,-2260,-1281,447,374,1328014,2707,16223,3522,27191.0,170960
6.78638792,2523,44927,-3719,-875,59042,14171,3048799,7558,86,7762,102974,52898,477,743,128,3805,1714,126584,1971,5946,-1883,-1807,360,255,1319848,2522,16105,3220,25044.0,172153
6.787125587,2850,46872,-3622,-936,57616,14449,3051151,8585,177,8063,107299,53412,546,904,42,3463,2052,124481,1654,5640,-1462,-1437,459,197,1307359,2297,16156,3229,25736.0,180055
6.787863255,2651,44579,-3550,-1053,57834,13034,2963711,7511,591,8913,100523,52213,555,780,113,3652,1574,121952,2016,6131,-2652,-2061,323,491,1303178,2972,16342,2967,25792.0,168298
6.788600922,2722,43056,-4034,-1137,58205,12818,3001610,7645,312,8521,96986,50246,637,912,124,3522,1999,122599,1574,5562,-1404,-1024,436,212,1305117,2760,16357,3894,26286.0,163227
6.789339066,2370,42367,-3788,-946,58278,12600,3015244,7143,342,8238,97047,50070,483,851,123,3915,2109,123168,2078,5620,-965,-1332,494,390,1301722,2413,15540,3631,23985.0,161527
6.790077209,2386,40581,-3711,-1194,52419,11370,2894204,6299,340,7866,86918,50086,647,776,168,3480,1431,113349,1509,5224,-1860,-1306,383,241,1297492,2288,15852,2779,20953.0,147554
6.7908144,2279,38093,-3538,-1155,53574,10957,2793200,6143,498,7626,81901,50265,456,721,86,3086,1487,110558,1843,5574,-1709,-1225,383,167,1296542,1857,15833,3379,20604.0,139373
6.791552544,2207,37384,-3987,-1239,51869,11023,2823443,5497,978,7338,78988,48578,485,794,68,3232,1793,110585,1617,4930,-1853,-1531,282,349,1299504,2217,15580,3832,20240.0,135099
6.792290688,2039,37017,-4083,-1006,52801,11154,2926580,6208,475,7503,78922,47004,562,773,112,3385,1618,114558,1788,5006,-2150,-1960,338,374,1298350,3066,15494,3215,18892.0,135340
6.793028355,2153,38396,-3731,-805,53994,11418,3008685,6494,1150,8318,81581,49573,496,842,189,3215,1909,118053,2926,5246,-788,-1258,281,335,1311706,2216,15914,2916,21488.0,140042
6.793766022,2183,38402,-4088,-1231,55275,10963,3021751,5927,1418,7612,82466,49429,464,779,71,3504,2185,118405,1573,4843,-1869,-1875,397,335,1317563,2205,15208,3681,20597.0,139941
6.794504166,2278,37860,-4009,-1075,54361,11090,2995544,5271,1256,7763,81374,52804,490,785,115,3500,1716,117296,1760,4999,-1223,-1182,223,289,1328244,2595,15331,3279,19084.0,137873
6.795241833,2407,38105,-4097,-1274,55412,11423,3021888,5685,1015,7463,78911,51512,484,714,52,3345,1618,115792,1816,5102,-1611,-1068,321,295,1336293,2321,14828,2902,18270.0,136531
6.7959795,2315,38973,-3585,-986,55120,10408,3062137,6088,469,7836,81521,52405,498,704,82,3267,1367,115772,1147,4819,-1365,-929,385,259,1344112,2119,16378,3449,19329.0,139305
6.796717644,2239,37910,-3595,-720,57058,11283,3007557,5936,535,8237,81297,49807,496,719,82,3354,1735,117208,1462,5229,-1923,-1619,481,317,1349040,2827,16503,3700,21284.0,138665
